1st harmonic,2nd harmonic,3rd harmonic,4th harmonic,5th harmonic
1.0,0.5829397747953905,0.4740027504503892,0.13098886934607626,0.07274298320979689,0.04639705070985212
1.0,0.5229768823698123,0.7062391299601403,0.13366439318165463,0.05714606492473049,0.10588138353591882
1.0,0.5030480921359527,0.35181208201342196,0.12157694479627235,0.05670807194523941,0.052489752625807906
1.0,0.7454679318269092,0.5137456899887289,0.12226149307452351,0.06120727789407566,0.05187964113231895
1.0,0.4610197404059302,0.5140825242785166,0.11567093962716753,0.054315899563745586,0.051650803781149515
1.0,0.5364148285911546,0.43691586681183775,0.12428523943989639,0.03365090650238412,0.095760208712438
1.0,0.7216885358025035,0.6703417625880572,0.20760844108453289,0.08082438007233707,0.1221370688944212
1.0,1.0195527360655878,0.6638789217166078,0.28619935479276953,0.09732844749195117,0.12886669871167714
