1st harmonic,2nd harmonic,3rd harmonic,4th harmonic,5th harmonic
1.0,0.12783974327206468,0.03375860392786802,0.03815119643893075,
1.0,0.09223170171769862,,,
1.0,0.15317577226637974,0.04239096665123364,0.04589304893674468,0.03340394956182122
1.0,0.12034709659592818,,,
1.0,0.11713415967424644,0.03232067459363447,0.04571515463758569,
1.0,0.09406535676674346,,,
1.0,0.0981606956287865,,,
